date,symbol,open,high,low,close,Volume BTC,Volume USD
2022-08-12 00:00:00,BTC/USD,23957,23990,23782,23789,29.04907121,691048.35501469
2022-08-11 23:00:00,BTC/USD,23901,23975,23867,23959,63.0450507,1510496.3697213
2022-08-11 22:00:00,BTC/USD,24196,24227,23907,23907,94.24445985,2253102.30163395
2022-08-11 21:00:00,BTC/USD,24222,24345,24063,24203,80.36621194,1945103.42758382
2022-08-11 20:00:00,BTC/USD,24242,24250,24050,24219,64.6645647,1566111.0924693
2022-08-11 19:00:00,BTC/USD,24165,24240,24095,24240,49.6812653,1204273.870872
2022-08-11 18:00:00,BTC/USD,24348,24358,24098,24165,113.08142146,2732612.5495809
2022-08-11 17:00:00,BTC/USD,24348,24424,24293,24359,19.88206466,484307.21305294
2022-08-11 16:00:00,BTC/USD,24347,24421,24266,24351,64.49315415,1570472.79670665
2022-08-11 15:00:00,BTC/USD,24569,24594,24297,24352,124.17253078,3023849.46955456
2022-08-11 14:00:00,BTC/USD,24760,24879,24446,24576,116.6715195,2867319.263232
2022-08-11 13:00:00,BTC/USD,24868,24900,24550,24733,140.17611886,3466975.94776438
2022-08-11 12:00:00,BTC/USD,24563,24921,24560,24884,212.20159061,5280424.38073924
2022-08-11 11:00:00,BTC/USD,24495,24689,24486,24570,99.48694776,2444394.3064632
2022-08-11 10:00:00,BTC/USD,24462,24531,24407,24504,25.54354765,625919.0916156
2022-08-11 09:00:00,BTC/USD,24542,24552,24454,24454,20.32264746,496970.02098684
2022-08-11 08:00:00,BTC/USD,24439,24573,24357,24538,49.53944045,1215598.7897621
2022-08-11 07:00:00,BTC/USD,24564,24750,24372,24434,89.181832,2179068.883088
2022-08-11 06:00:00,BTC/USD,24566,24634,24491,24564,56.78733796,1394924.16964944
2022-08-11 05:00:00,BTC/USD,24523,24668,24494,24570,99.84691047,2453238.5902479
2022-08-11 04:00:00,BTC/USD,24349,24546,24297,24535,51.98511159,1275454.71286065
2022-08-11 03:00:00,BTC/USD,24296,24377,24220,24338,53.7928096,1309209.4000448
2022-08-11 02:00:00,BTC/USD,24454,24460,24209,24268,55.0509054,1335975.3722472
2022-08-11 01:00:00,BTC/USD,24066,24491,24058,24444,191.24386999,4674765.15803556
2022-08-11 00:00:00,BTC/USD,23961,24104,23931,24070,28.74300766,691844.1943762
2022-08-10 23:00:00,BTC/USD,23856,23970,23840,23964,18.82192976,451048.72476864
2022-08-10 22:00:00,BTC/USD,23983,24016,23816,23846,38.9707279,929295.9775034
2022-08-10 21:00:00,BTC/USD,23901,24228,23795,23962,321.02357462,7692366.89504444
2022-08-10 20:00:00,BTC/USD,23658,23936,23636,23909,82.1213813,1963440.1055017
2022-08-10 19:00:00,BTC/USD,23610,23706,23543,23646,28.72909431,679328.16405426
2022-08-10 18:00:00,BTC/USD,23926,23940,23500,23615,214.20137872,5058365.5584728
2022-08-10 17:00:00,BTC/USD,23972,23977,23833,23923,62.21860291,1488455.63741593
2022-08-10 16:00:00,BTC/USD,24022,24091,23876,23970,46.18249206,1106994.3346782
2022-08-10 15:00:00,BTC/USD,24025,24088,23934,24008,33.16524856,796231.28742848
2022-08-10 14:00:00,BTC/USD,24011,24096,23853,24017,214.00213318,5139689.23258406
2022-08-10 13:00:00,BTC/USD,24032,24179,23886,24016,320.89452642,7706602.94650272
2022-08-10 12:00:00,BTC/USD,23139,24064,23041,24000,449.01479789,10776355.14936
2022-08-10 11:00:00,BTC/USD,23065,23205.35,23062,23131,20.9330806,484203.0873586
2022-08-10 10:00:00,BTC/USD,23083,23090,23000,23068,3.8322367,88402.0361956
2022-08-10 09:00:00,BTC/USD,23140,23140,23035,23090,4.85728039,112154.6042051
2022-08-10 08:00:00,BTC/USD,22981.16,23142,22981.16,23121,47.88538584,1107158.00600664
2022-08-10 07:00:00,BTC/USD,22953.34,23022.58,22937.99,22983.98,35.57217225,817590.095550555
2022-08-10 06:00:00,BTC/USD,22896.18,22966.52,22838.72,22952.94,33.46101743,768028.725409744
2022-08-10 05:00:00,BTC/USD,22956.7,22980.73,22893.2,22912.91,21.54269293,493605.784262726
2022-08-10 04:00:00,BTC/USD,22868.05,23022.39,22864.5,22954.44,25.02888762,574524.099140033
2022-08-10 03:00:00,BTC/USD,22920.79,22945.52,22856.52,22870.79,21.0668046,481814.463977634
2022-08-10 02:00:00,BTC/USD,22900.5,22936,22781.59,22930.85,31.15239437,714350.882439314
2022-08-10 01:00:00,BTC/USD,22776.68,22967.99,22775.98,22901.26,60.94002691,1395603.40067291
2022-08-10 00:00:00,BTC/USD,23151.68,23151.68,22668.57,22774.13,115.77057373,2636574.0963016
2022-08-09 23:00:00,BTC/USD,23186.39,23249.73,23140.77,23164.78,16.35800539,378929.596098164
2022-08-09 22:00:00,BTC/USD,23206.28,23272.32,23138.43,23193.8,45.19172464,1048167.82295523
2022-08-09 21:00:00,BTC/USD,23136.26,23226.88,23136.26,23207.32,96.0645242,2229400.15375714
2022-08-09 20:00:00,BTC/USD,23073.48,23196.59,23065.3,23156.48,45.14722325,1045450.77224416
2022-08-09 19:00:00,BTC/USD,23073.75,23113.96,23021.4,23072.86,11.062733,255248.88972638
2022-08-09 18:00:00,BTC/USD,23053.43,23082.06,22994.88,23068.26,10.47007115,241526.323506699
2022-08-09 17:00:00,BTC/USD,23083.18,23138.22,22986.99,23059.88,15.62151977,360230.371313828
2022-08-09 16:00:00,BTC/USD,23090.79,23120.57,22991.22,23082.28,47.79501411,1103217.89829097
2022-08-09 15:00:00,BTC/USD,23106.84,23162.43,23039.16,23097.37,28.41159561,656233.136094546
